STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-PRCP-PCTALL-GE010HI,DLY-SNWD-PCTALL-GE003WI,DLY-SNOW-PCTALL-GE030TI,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100101,138,350,44,291,366,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100102,137,355,43,291,367,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100103,137,360,43,291,367,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100104,136,365,43,291,367,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100105,135,369,43,292,367,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100106,134,373,42,292,368,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100107,133,377,42,292,368,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100108,132,379,41,292,368,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100109,131,382,41,292,369,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100110,130,384,40,292,369,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100111,129,385,40,292,370,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100112,128,386,39,293,370,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100113,127,387,39,293,371,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100114,126,387,38,293,371,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100115,126,387,38,293,372,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100116,126,387,37,294,372,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100117,126,386,37,294,373,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100118,126,384,36,294,373,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100119,126,382,36,295,374,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100120,126,379,36,295,375,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100121,126,376,36,295,376,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100122,126,372,36,296,377,215
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100123,126,367,36,297,378,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100124,127,362,36,297,379,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100125,127,356,36,298,380,216
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100126,127,351,36,299,381,217
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100127,128,344,36,300,382,217
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100128,128,338,37,301,384,218
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100129,128,332,37,302,385,219
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100130,129,325,37,303,387,220
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100131,130,319,37,305,389,220
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100201,130,313,37,306,391,222
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100202,131,306,37,308,393,223
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100203,131,299,37,310,395,224
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100204,132,293,37,311,397,226
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100205,133,286,38,313,400,227
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100206,134,279,38,316,402,229
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100207,136,273,38,318,405,231
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100208,137,266,38,320,408,233
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100209,138,259,38,323,411,235
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100210,139,252,38,325,414,237
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100211,141,245,39,328,417,240
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100212,142,238,39,331,420,242
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100213,143,230,39,334,424,245
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100214,143,223,39,337,427,247
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100215,144,216,38,341,431,250
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100216,145,209,38,344,435,253
GHCND:USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,1287.8,40.7781,-111.9694,20100217,145,202,38,347,438,256
