STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-PRCP-PCTALL-GE010HI,DLY-SNWD-PCTALL-GE003WI,DLY-SNOW-PCTALL-GE030TI,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100101,114,-9999,-9999,489,621,358
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100102,115,-9999,-9999,489,621,358
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100103,116,-9999,-9999,489,620,358
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100104,117,-9999,-9999,489,620,358
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100105,118,-9999,-9999,489,620,358
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100106,119,-9999,-9999,489,620,358
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100107,119,-9999,-9999,489,620,359
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100108,120,-9999,-9999,489,619,359
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100109,121,-9999,-9999,489,619,359
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100110,122,-9999,-9999,489,619,360
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,146.3,30.18306,-97.68,20100111,124,-9999,-9999,490,619,360
