STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-PRCP-PCTALL-GE010HI,DLY-SNWD-PCTALL-GE003WI,DLY-SNOW-PCTALL-GE030TI,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100101,202,133,21,301,367,234
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100102,201,138,22,300,366,233
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100103,201,143,22,299,365,232
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100104,201,147,23,298,365,231
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100105,201,151,24,297,364,230
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100106,200,155,24,296,363,229
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100107,200,159,24,295,363,228
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100108,199,162,25,295,363,227
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100109,199,165,25,294,362,226
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100110,199,168,25,294,362,226
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100111,198,171,25,293,362,225
GHCND:USW00014821,COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT OH US,246.9,39.99139,-82.88083,20100112,198,173,25,293,362,225
