STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-PRCP-PCTALL-GE010HI,DLY-SNWD-PCTALL-GE003WI,DLY-SNOW-PCTALL-GE030TI,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100101,35,-9999,-9999,301,430,173
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100102,35,-9999,-9999,302,431,173
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100103,35,-9999,-9999,303,432,174
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100104,35,-9999,-9999,304,433,174
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100105,35,-9999,-9999,304,434,175
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100106,34,-9999,-9999,305,435,175
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100107,34,-9999,-9999,306,436,175
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100108,33,-9999,-9999,306,437,175
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100109,33,-9999,-9999,307,438,176
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100110,33,-9999,-9999,307,439,176
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100111,33,-9999,-9999,308,440,176
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100112,32,-9999,-9999,308,440,176
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100113,32,-9999,-9999,308,441,176
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100114,32,-9999,-9999,308,441,176
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100115,31,-9999,-9999,309,442,175
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100116,31,-9999,-9999,309,442,175
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100117,31,-9999,-9999,309,442,175
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100118,30,-9999,-9999,309,443,175
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100119,30,-9999,-9999,309,443,174
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100120,30,-9999,-9999,309,443,174
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100121,30,-9999,-9999,308,443,174
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100122,29,-9999,-9999,308,443,173
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100123,29,-9999,-9999,308,443,173
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100124,28,-9999,-9999,308,443,173
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100125,28,-9999,-9999,308,443,173
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100126,28,-9999,-9999,308,443,172
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100127,28,-9999,-9999,308,443,172
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100128,28,-9999,-9999,308,443,172
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100129,28,-9999,-9999,308,443,172
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100130,27,-9999,-9999,308,443,172
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100131,27,-9999,-9999,308,444,172
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100201,27,-9999,-9999,308,444,172
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100202,27,-9999,-9999,308,444,172
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100203,27,-9999,-9999,309,445,173
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100204,27,-9999,-9999,309,445,173
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,20100205,27,-9999,-9999,310,446,174
