STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-PRCP-PCTALL-GE010HI,DLY-SNWD-PCTALL-GE003WI,DLY-SNOW-PCTALL-GE030TI,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100101,184,42,10,364,435,293
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100102,184,44,11,363,434,292
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100103,183,46,11,362,434,290
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100104,183,48,12,361,433,289
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100105,183,50,12,360,432,288
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100106,182,52,13,360,432,288
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100107,182,55,13,359,431,287
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100108,182,57,14,359,431,286
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100109,181,60,14,358,431,286
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100110,180,62,15,358,431,285
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100111,180,65,16,358,431,285
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100112,179,68,16,357,431,284
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100113,178,71,17,357,431,284
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100114,178,73,18,357,431,284
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100115,177,76,19,357,431,283
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100116,177,79,19,357,431,283
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100117,177,81,20,357,432,283
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100118,177,84,21,358,432,283
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100119,178,86,21,358,432,283
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100120,178,89,22,358,433,283
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,3,38.8483,-77.0341,20100121,178,92,23,359,434,284
